n,Codice_IPA,tipo,email
1,B432,Mail2,protocollo@comune.calto.ro.it
1,C_A050,Mail2,acquavivacollecroce@tiscali.it
1,C_A198,Mail2,segreteria.alice.castello@ruparpiemonte.it
1,C_A251,Mail2,info@amalfi.gov.it
1,C_A302,Mail2,segretario@comune.annoneveneto.ve.it
1,C_A403,Mail2,comunediarienzo.arienzo@virgilio.it
1,C_A451,Mail2,info@comune.artogne.bs.it
1,C_A568,Mail2,comune@comune.bagnoli.pd.it
1,C_B605,Mail2,info@comune.canischio.to.it
1,C_B621,Mail2,info@comune.canosio.cn.it
1,C_B781,Mail4,protocollo@comune.carinola.ce.it
1,C_B823,Mail2,info@comune.carpignanosesia.no.it
1,C_C078,Mail2,info@comune.castel-d-azzano.vr.it
1,C_C085,Mail2,urp@comune.casteldelpiano.gr.it
1,C_C304,Mail2,mamiti@comune.castiglionedada.lo.it
1,C_C306,Mail2,info@castiglionedelgenovesi.gov.it
1,C_C482,Mail2,comcerano@mclink.it
1,C_C635,Mail2,protocollo@comune.chignolodisola.bg.it
1,C_C820,Mail2,protocollo@comune.cogliate.mb.it
1,C_C943,Mail2,areacontabile@comune.concamarise.vr.it
1,C_D121,Mail2,mail@comune.cotignola.ra.it
1,C_D289,Mail2,ufficioprotocollo@comune-diamante.it
1,C_D499,Mail2,protocollo@comune.farigliano.cn.it
1,C_D634,Mail2,protocollo@comune.flero.bs.it
1,C_D694,Mail2,amministrazione@comune.forcola.so.it
1,C_D832,Mail2,sindaco@comune.futani.sa.it
1,C_D967,Mail2,segretario@comune.genola.cn.it
1,C_D976,Mail2,servizisocialilocri@libero.it
1,C_E070,Mail2,demografici@comune.sestagodano.sp.it
1,C_E675,Mail2,segreteria@comune.longiano.fc.it
1,C_E795,Mail2,municipio@comune.madonnadelsasso.vb.it
1,C_E896,Mail2,amministrazione@comune.mantello.so.it
1,C_E967,Mail2,info@comune.marone.bs.it
1,C_F194,Mail2,ufficioprotocollo@comune.miggiano.le.it
1,C_F254,Mail2,info@comune.moasca.at.it
1,C_F883,Mail2,comunedineviglie@libero.it
1,C_F988,Mail2,protocollo@comune.nusco.av.it
1,C_G266,Mail2,palazzolo.vercellese@reteunitaria.piemonte.it
1,C_G457,Mail2,perletto@ruparpiemonte.it
1,C_G556,Mail2,info@comune.pianellodellario.co.it
1,C_G676,Mail2,protocollo@comune.pinodasti.at.it
1,C_G821,Mail2,info@comune.ponna.co.it
1,C_G947,Mail2,l.tinelli@comune.poviglio.re.it
1,C_G979,Mail2,posta@comune.pralormo.to.it
1,C_H038,Mail2,protocollo@com-preone.regione.fvg.it
1,C_H078,Mail2,p.corridori@comune.provagliodiseo.bs.it
1,C_H377,Mail2,info@comune.robilante.cn.it
1,C_H492,Mail2,info@comune.rogno.bg.it
1,C_H833,Mail2,comune@sanfelicedelmolise.gov.it
1,C_I215,Mail2,segreteria@comunesantalessiosiculo.me.it
1,C_I216,Mail2,protocollo@comunesantalfio.ct.it
1,C_I256,Mail2,info@comune.santambrogiosulgarigliano.fr.it
1,C_I511,Mail2,scarmagno@comune.scarmagno.to.it
1,C_I843,Mail2,comunedisorboserpico@virgilio.it
1,C_I998,Mail2,comunedisulbiate@comune.sulbiate.mb.it
1,C_L402,Mail2,protocollo@comune.trevignano.tv.it
1,C_M187,Mail2,protocollo@comune.zollino.le.it
1,C_d014,Mail3,protocollo@com-cormons.regione.fvg.it
1,C_f661,Mail2,comune.monteverdi@comune.monteverdi.pi.it
1,C_i113,Mail2,Comune@comune.sanpietroinfine.ce.it
1,c_0899,Mail2,ragioneria@comune.gambettola.fc.it
1,c_0res,Mail2,ragioneria.cortebrugnatella@sintranet.it
1,c_1jzf,Mail2,RAGIONERIA@COMUNE.VALLIOTERME.BS.IT
1,c_1k21,Mail3,comune@caderzone.net
1,c_707,Mail2,segreteria@comune.lozza.va.it
