"comune_denominazione","comune_codice_istat","regione_denominazione","wikipedia_link","link_img1","link_img2","link_img3","link_img4"
"Alcamo","081001","Sicilia","https://it.wikipedia.org/wiki/Alcamo","//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Nota_disambigua.svg/18px-Nota_disambigua.svg.png","//upload.wikimedia.org/wikipedia/commons/thumb/9/93/Logo_di_Alcamo.png/80px-Logo_di_Alcamo.png","//upload.wikimedia.org/wikipedia/commons/thumb/8/87/Gonfalone_di_Alcamo.png/80px-Gonfalone_di_Alcamo.png","//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Alcamo_Castle_009_6674.jpg/260px-Alcamo_Castle_009_6674.jpg"
"Buseto Palizzolo","081002","Sicilia","https://it.wikipedia.org/wiki/Buseto_Palizzolo","//upload.wikimedia.org/wikipedia/it/thumb/d/d4/Buseto_Palizzolo-Stemma.png/80px-Buseto_Palizzolo-Stemma.png","//upload.wikimedia.org/wikipedia/it/thumb/a/a0/Buseto_Palizzolo-Gonfalone.png/70px-Buseto_Palizzolo-Gonfalone.png","//upload.wikimedia.org/wikipedia/commons/thumb/d/db/BattagliaBuseto2.JPG/260px-BattagliaBuseto2.JPG","//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png"
"Calatafimi-Segesta","081003","Sicilia","https://it.wikipedia.org/wiki/Calatafimi-Segesta","//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Nota_disambigua.svg/18px-Nota_disambigua.svg.png","//upload.wikimedia.org/wikipedia/it/thumb/f/f5/Calatafimi_Segesta-Stemma.png/80px-Calatafimi_Segesta-Stemma.png","//upload.wikimedia.org/wikipedia/it/thumb/9/98/Calatafimi_Segesta-Gonfalone.png/63px-Calatafimi_Segesta-Gonfalone.png","//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Calatafimi_segesta.jpg/260px-Calatafimi_segesta.jpg"
"Campobello di Mazara","081004","Sicilia","https://it.wikipedia.org/wiki/Campobello_di_Mazara","//upload.wikimedia.org/wikipedia/it/thumb/9/97/Campobello_di_Mazara-Stemma.png/80px-Campobello_di_Mazara-Stemma.png","//upload.wikimedia.org/wikipedia/it/thumb/d/de/Campobello_di_Mazara-Gonfalone.png/60px-Campobello_di_Mazara-Gonfalone.png","//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Campobello_di_Mazara124.jpg/260px-Campobello_di_Mazara124.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png"
"Castellammare del Golfo","081005","Sicilia","https://it.wikipedia.org/wiki/Castellammare_del_Golfo","//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Castellammare_del_Golfo.Stemma.png/80px-Castellammare_del_Golfo.Stemma.png","//upload.wikimedia.org/wikipedia/it/thumb/7/7d/Castellammare_del_Golfo-Gonfalone.png/64px-Castellammare_del_Golfo-Gonfalone.png","//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Castellammare_del_Golfo_Harbour%2C_Sicily.jpg/260px-Castellammare_del_Golfo_Harbour%2C_Sicily.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png"
"Castelvetrano","081006","Sicilia","https://it.wikipedia.org/wiki/Castelvetrano","//upload.wikimedia.org/wikipedia/it/thumb/0/0a/Castelvetrano-Stemma.png/80px-Castelvetrano-Stemma.png","//upload.wikimedia.org/wikipedia/commons/thumb/5/55/Castelvetrano_-_Municipio.jpg/260px-Castelvetrano_-_Municipio.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png","//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Coat_of_arms_of_Sicily.svg/20px-Coat_of_arms_of_Sicily.svg.png"
"Custonaci","081007","Sicilia","https://it.wikipedia.org/wiki/Custonaci","//upload.wikimedia.org/wikipedia/it/thumb/d/de/Custonaci-Stemma.png/80px-Custonaci-Stemma.png","//upload.wikimedia.org/wikipedia/it/thumb/1/10/Custonaci-Gonfalone.png/64px-Custonaci-Gonfalone.png","//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Custonaci-pan.jpg/260px-Custonaci-pan.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png"
"Erice","081008","Sicilia","https://it.wikipedia.org/wiki/Erice","//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Nota_disambigua.svg/18px-Nota_disambigua.svg.png","//upload.wikimedia.org/wikipedia/it/thumb/6/6b/Erice-Stemma.png/80px-Erice-Stemma.png","//upload.wikimedia.org/wikipedia/it/thumb/3/39/Erice-Gonfalone.png/75px-Erice-Gonfalone.png","//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Chiesa_madre_Erice_08_10_2017_05.jpg/260px-Chiesa_madre_Erice_08_10_2017_05.jpg"
"Favignana","081009","Sicilia","https://it.wikipedia.org/wiki/Favignana_(Italia)","//upload.wikimedia.org/wikipedia/it/thumb/e/ee/Favignana_%28Italia%29-Stemma.png/80px-Favignana_%28Italia%29-Stemma.png","//upload.wikimedia.org/wikipedia/it/thumb/e/e9/Favignana_%28Italia%29-Gonfalone.png/60px-Favignana_%28Italia%29-Gonfalone.png","//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Island_Horizon_%2869299375%29.jpeg/260px-Island_Horizon_%2869299375%29.jpeg","//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png"
"Gibellina","081010","Sicilia","https://it.wikipedia.org/wiki/Gibellina","//upload.wikimedia.org/wikipedia/it/thumb/d/df/Gibellina-Stemma.png/80px-Gibellina-Stemma.png","//upload.wikimedia.org/wikipedia/it/thumb/9/95/Gibellina-Gonfalone.png/62px-Gibellina-Gonfalone.png","//upload.wikimedia.org/wikipedia/commons/thumb/9/94/Panorama_di_Gibellina_Nuova.JPG/260px-Panorama_di_Gibellina_Nuova.JPG","//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png"
