comune_denominazione,comune_codice_istat,regione_denominazione,link_stemma
Alcamo,81001,Sicilia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Logo_di_Alcamo.png/80px-Logo_di_Alcamo.png
Buseto Palizzolo,81002,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/d/d4/Buseto_Palizzolo-Stemma.png/80px-Buseto_Palizzolo-Stemma.png
Calatafimi-Segesta,81003,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/f/f5/Calatafimi_Segesta-Stemma.png/80px-Calatafimi_Segesta-Stemma.png
Campobello di Mazara,81004,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/9/97/Campobello_di_Mazara-Stemma.png/80px-Campobello_di_Mazara-Stemma.png
Castellammare del Golfo,81005,Sicilia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Castellammare_del_Golfo.Stemma.png/80px-Castellammare_del_Golfo.Stemma.png
Castelvetrano,81006,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/0/0a/Castelvetrano-Stemma.png/80px-Castelvetrano-Stemma.png
Custonaci,81007,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/d/de/Custonaci-Stemma.png/80px-Custonaci-Stemma.png
Erice,81008,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/6/6b/Erice-Stemma.png/80px-Erice-Stemma.png
Favignana,81009,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/e/ee/Favignana_%28Italia%29-Stemma.png/80px-Favignana_%28Italia%29-Stemma.png
Gibellina,81010,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/d/df/Gibellina-Stemma.png/80px-Gibellina-Stemma.png
Marsala,81011,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/d/d0/Marsala-Stemma.png/80px-Marsala-Stemma.png
Mazara del Vallo,81012,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/1/10/Mazara_del_Vallo-Stemma.png/80px-Mazara_del_Vallo-Stemma.png
Paceco,81013,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/e/e3/Paceco-Stemma.png/80px-Paceco-Stemma.png
Pantelleria,81014,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/7/70/Pantelleria-Stemma.png/80px-Pantelleria-Stemma.png
Partanna,81015,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/4/4b/Partanna-Stemma.png/78px-Partanna-Stemma.png
Poggioreale,81016,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/0/02/Poggioreale-Stemma.png/65px-Poggioreale-Stemma.png
Salaparuta,81017,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/b/b2/Salaparuta-Stemma.png/80px-Salaparuta-Stemma.png
Salemi,81018,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/b/ba/Salemi-Stemma.png/80px-Salemi-Stemma.png
Santa Ninfa,81019,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/9/96/Santa_Ninfa-Stemma.png/80px-Santa_Ninfa-Stemma.png
San Vito Lo Capo,81020,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/5/5d/San_Vito_Lo_Capo-Stemma.png/80px-San_Vito_Lo_Capo-Stemma.png
Trapani,81021,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/e/e1/Trapani-Stemma.png/69px-Trapani-Stemma.png
Valderice,81022,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/d/d7/Valderice-Stemma.png/80px-Valderice-Stemma.png
Vita,81023,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/1/1c/Vita-Stemma.png/80px-Vita-Stemma.png
Petrosino,81024,Sicilia,https://upload.wikimedia.org/wikipedia/it/thumb/4/45/Petrosino-Stemma.png/80px-Petrosino-Stemma.png
