denominazione_comune,terapia_intensiva,malattie_infettive,positivi_quarantena_domiciliare,ricoverati_altrove,guariti_clinicamente,guariti_da_covid,deceduti_in_provincia,deceduti_fuori_provincia,data
Acquaviva Platani,,,,,,10,,,2021-03-06
Bompensiere,,,,,,18,1,,2021-03-06
Butera,,,3,,,76,,,2021-03-06
Campofranco,,1,,,,40,2,,2021-03-06
Caltanissetta,,19,114,1,,1067,25,1,2021-03-06
Delia,,,12,,,29,,,2021-03-06
Gela,1,10,65,3,,2740,61,,2021-03-06
Marianopoli,,,,,,6,1,,2021-03-06
Mazzarino,,,1,,,191,3,,2021-03-06
Milena,,,12,,,139,5,,2021-03-06
Montedoro,,1,23,,,31,1,,2021-03-06
Mussomeli,1,1,43,,,146,4,1,2021-03-06
Niscemi,,2,74,,,942,19,,2021-03-06
Resuttano,,,,,,54,,,2021-03-06
Riesi,,2,82,1,,140,4,,2021-03-06
San Cataldo,,2,35,,,537,9,,2021-03-06
Santa Caterina Villarmosa,,,1,,,61,1,,2021-03-06
Serradifalco,,,15,,,86,1,,2021-03-06
Sommatino,1,,4,,,46,2,,2021-03-06
Sutera,,,,,,3,,,2021-03-06
Vallelunga Pratameno,,,13,,,21,,,2021-03-06
Villalba,,,13,,,24,,,2021-03-06
altreProvince,,2,,2,14,46,25,,2021-03-06
Acquaviva Platani,,,,,,10,,,2021-03-22
Bompensiere,,,,,,18,1,,2021-03-22
Butera,,,1,,,80,,,2021-03-22
Campofranco,,1,,,,40,2,,2021-03-22
Caltanissetta,3,41,402,1,,1167,27,1,2021-03-22
Delia,1,,14,,,31,,,2021-03-22
Gela,1,7,50,3,,2786,62,,2021-03-22
Marianopoli,,,,,,6,1,,2021-03-22
Mazzarino,,,18,,,192,3,,2021-03-22
Milena,1,1,8,,,142,5,,2021-03-22
Montedoro,1,,24,,,47,2,,2021-03-22
Mussomeli,,1,31,,,168,4,1,2021-03-22
Niscemi,,2,71,,,999,20,,2021-03-22
Resuttano,,,3,,,54,,,2021-03-22
Riesi,,3,55,1,,196,6,,2021-03-22
San Cataldo,,2,39,,,560,9,,2021-03-22
Santa Caterina Villarmosa,,,7,,,62,1,,2021-03-22
Serradifalco,,2,56,,,91,1,,2021-03-22
Sommatino,,,14,,,49,3,,2021-03-22
Sutera,,,1,,,3,,,2021-03-22
Vallelunga Pratameno,,1,15,,,23,,,2021-03-22
Villalba,,,15,,,29,,,2021-03-22
altreProvince,,2,,2,14,46,25,,2021-03-22
Acquaviva Platani,,,,,,10,,,2021-03-24
Bompensiere,,,,,,18,1,,2021-03-24
Butera,,,,,,81,,,2021-03-24
Campofranco,,1,,,,40,2,,2021-03-24
Caltanissetta,2,46,440,1,,1189,28,1,2021-03-24
Delia,1,,14,,,31,,,2021-03-24
Gela,1,6,39,3,,2798,62,,2021-03-24
Marianopoli,,,,,,6,1,,2021-03-24
Mazzarino,,,18,,,192,3,,2021-03-24
Milena,1,,10,,,142,5,,2021-03-24
Montedoro,,,21,,,50,3,,2021-03-24
Mussomeli,,,31,,,169,4,1,2021-03-24
Niscemi,,,69,,,1005,21,,2021-03-24
Resuttano,,,4,,,54,,,2021-03-24
Riesi,,3,39,1,,212,6,,2021-03-24
San Cataldo,,1,40,,,570,9,,2021-03-24
Santa Caterina Villarmosa,,,8,,,62,1,,2021-03-24
Serradifalco,,2,62,,,92,1,,2021-03-24
Sommatino,,,18,,,50,3,,2021-03-24
Sutera,,,1,,,3,,,2021-03-24
Vallelunga Pratameno,,1,14,,,24,,,2021-03-24
Villalba,,,14,,,30,,,2021-03-24
altreProvince,,2,,2,14,46,25,,2021-03-24
Acquaviva Platani,,,,,,10,,,2021-03-25
Bompensiere,,,,,,18,1,,2021-03-25
Butera,,,1,,,81,,,2021-03-25
Campofranco,,1,,,,40,2,,2021-03-25
Caltanissetta,2,48,481,1,,1192,28,1,2021-03-25
Delia,1,,14,,,31,,,2021-03-25
Gela,1,6,40,3,,2800,62,,2021-03-25
Marianopoli,,,,,,6,1,,2021-03-25
Mazzarino,,,18,,,192,3,,2021-03-25
Milena,1,,10,,,142,5,,2021-03-25
Montedoro,,,21,,,50,3,,2021-03-25
Mussomeli,,,28,,,172,4,1,2021-03-25
Niscemi,,,67,,,1007,21,,2021-03-25
Resuttano,,,4,,,54,,,2021-03-25
Riesi,,2,39,1,,214,6,,2021-03-25
San Cataldo,,1,47,,,572,9,,2021-03-25
Santa Caterina Villarmosa,,,10,,,63,1,,2021-03-25
Serradifalco,,2,62,,,92,1,,2021-03-25
Sommatino,,,18,,,50,3,,2021-03-25
Sutera,,,1,,,3,,,2021-03-25
Vallelunga Pratameno,,1,13,,,25,,,2021-03-25
Villalba,,,14,,,30,,,2021-03-25
altreProvince,,2,,2,14,46,25,,2021-03-25
Acquaviva Platani,,,,,,10,,,2021-03-26
Bompensiere,,,,,,18,1,,2021-03-26
Butera,,,1,,,81,,,2021-03-26
Campofranco,,1,,,,40,2,,2021-03-26
Caltanissetta,3,48,525,1,,1197,28,1,2021-03-26
Delia,1,,15,,,31,,,2021-03-26
Gela,1,6,47,3,,2800,62,,2021-03-26
Marianopoli,,,1,,,6,1,,2021-03-26
Mazzarino,,,18,,,192,3,,2021-03-26
Milena,1,,10,,,142,5,,2021-03-26
Montedoro,,1,20,,,50,3,,2021-03-26
Mussomeli,,,24,,,176,4,1,2021-03-26
Niscemi,1,,66,,,1008,21,,2021-03-26
Resuttano,,,9,,,54,,,2021-03-26
Riesi,,2,39,1,,214,6,,2021-03-26
San Cataldo,,1,51,,,572,9,,2021-03-26
Santa Caterina Villarmosa,,,11,,,63,1,,2021-03-26
Serradifalco,,3,62,,,92,1,,2021-03-26
Sommatino,,,28,,,50,3,,2021-03-26
Sutera,,,,,,4,,,2021-03-26
Vallelunga Pratameno,,1,9,,,29,,,2021-03-26
Villalba,,,10,,,34,,,2021-03-26
altreProvince,,1,,2,14,47,25,,2021-03-26
Acquaviva Platani,,,,,,10,,,2021-03-27
Bompensiere,,,,,,18,1,,2021-03-27
Butera,,,1,,,81,,,2021-03-27
Campofranco,,1,,,,40,2,,2021-03-27
Caltanissetta,3,49,535,1,,1199,28,1,2021-03-27
Delia,1,,13,,,35,,,2021-03-27
Gela,1,6,41,3,,2810,62,,2021-03-27
Marianopoli,,,1,,,6,1,,2021-03-27
Mazzarino,,,40,,,192,3,,2021-03-27
Milena,1,,6,,,146,5,,2021-03-27
Montedoro,,1,16,,,54,3,,2021-03-27
Mussomeli,,,24,,,176,4,1,2021-03-27
Niscemi,1,,64,,,1013,21,,2021-03-27
Resuttano,,,9,,,54,,,2021-03-27
Riesi,,1,40,1,,214,6,,2021-03-27
San Cataldo,,2,50,,,573,9,,2021-03-27
Santa Caterina Villarmosa,,,11,,,63,1,,2021-03-27
Serradifalco,1,2,62,,,92,1,,2021-03-27
Sommatino,,,28,,,50,3,,2021-03-27
Sutera,,,,,,4,,,2021-03-27
Vallelunga Pratameno,,1,7,,,31,,,2021-03-27
Villalba,,,10,,,34,,,2021-03-27
altreProvince,,1,,2,14,47,25,,2021-03-27
Acquaviva Platani,,,,,,10,,,2021-03-28
Bompensiere,,,,,,18,1,,2021-03-28
Butera,,,1,,,81,,,2021-03-28
Campofranco,,1,,,,40,2,,2021-03-28
Caltanissetta,3,49,555,1,,1200,28,1,2021-03-28
Delia,1,,10,,,38,,,2021-03-28
Gela,1,6,57,3,,2811,62,,2021-03-28
Marianopoli,,,1,,,6,1,,2021-03-28
Mazzarino,,,41,,,192,3,,2021-03-28
Milena,1,,2,,,150,5,,2021-03-28
Montedoro,,1,13,,,57,3,,2021-03-28
Mussomeli,,,24,,,176,4,1,2021-03-28
Niscemi,1,,59,,,1020,21,,2021-03-28
Resuttano,,,9,,,54,,,2021-03-28
Riesi,,1,38,1,,216,6,,2021-03-28
San Cataldo,,2,49,,,574,9,,2021-03-28
Santa Caterina Villarmosa,,,11,,,63,1,,2021-03-28
Serradifalco,1,2,55,,,102,1,,2021-03-28
Sommatino,,,28,,,50,3,,2021-03-28
Sutera,,,,,,4,,,2021-03-28
Vallelunga Pratameno,,1,7,,,31,,,2021-03-28
Villalba,,,10,,,34,,,2021-03-28
altreProvince,,1,,2,14,47,25,,2021-03-28
Acquaviva Platani,,,,,,10,,,2021-03-29
Bompensiere,,,,,,18,1,,2021-03-29
Butera,,,1,,,81,,,2021-03-29
Campofranco,,1,,,,40,2,,2021-03-29
Caltanissetta,3,58,562,1,,1213,28,1,2021-03-29
Delia,1,,11,,,38,,,2021-03-29
Gela,1,5,57,3,,2811,63,,2021-03-29
Marianopoli,,,1,,,6,1,,2021-03-29
Mazzarino,,,41,,,192,3,,2021-03-29
Milena,1,,2,,,150,5,,2021-03-29
Montedoro,,1,13,,,57,3,,2021-03-29
Mussomeli,,,23,,,177,4,1,2021-03-29
Niscemi,1,,58,,,1021,21,,2021-03-29
