Comune,CODISTAT,provincia,inizioIntervallo,fineIntervallo,classeEta,Target,Vaccinati,Immunizzati
Agrigento,84001,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,34919,28859,27243
Agrigento,84001,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,15886,14720,14327
Alessandria della Rocca,84002,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1478,1170,1130
Alessandria della Rocca,84002,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,952,866,854
Aragona,84003,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,5650,4715,4490
Aragona,84003,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2532,2448,2398
Bivona,84004,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2048,1641,1564
Bivona,84004,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1067,989,971
Burgio,84005,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1521,1291,1265
Burgio,84005,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,844,815,810
Calamonaci,84006,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,723,542,523
Calamonaci,84006,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,400,349,346
Caltabellotta,84007,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1897,1524,1443
Caltabellotta,84007,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1200,1075,1053
Camastra,84008,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1219,888,832
Camastra,84008,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,587,518,500
Cammarata,84009,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,3793,3173,3007
Cammarata,84009,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1584,1516,1484
Campobello di Licata,84010,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,5751,4507,4270
Campobello di Licata,84010,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2624,2465,2421
Canicattì,84011,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,22432,16716,15672
Canicattì,84011,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,8463,7540,7359
Casteltermini,84012,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,4543,3705,3518
Casteltermini,84012,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2362,2152,2103
Castrofilippo,84013,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1614,1158,1092
Castrofilippo,84013,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,776,685,657
Cattolica Eraclea,84014,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2090,1525,1439
Cattolica Eraclea,84014,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1025,880,856
Cianciana,84015,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1877,1545,1480
Cianciana,84015,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1119,1042,1017
Comitini,84016,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,559,505,480
Comitini,84016,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,241,242,241
Favara,84017,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,20841,17103,16247
Favara,84017,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,8071,7436,7238
Grotte,84018,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,3192,2644,2516
Grotte,84018,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1644,1485,1452
Joppolo Giancaxio,84019,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,647,511,493
Joppolo Giancaxio,84019,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,372,325,312
Lampedusa e Linosa,84020,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,4262,3207,2831
Lampedusa e Linosa,84020,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1485,1270,1211
Licata,84021,Agrigento,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,22231,15078,13620
