Comune,CODISTAT,provincia,inizioIntervallo,fineIntervallo,classeEta,Target,Vaccinati,Immunizzati
Agrigento,84001,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,34919,27961,25277
Agrigento,84001,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,15886,14540,13930
Alessandria della Rocca,84002,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1478,1159,1098
Alessandria della Rocca,84002,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,952,863,851
Aragona,84003,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,5650,4594,4336
Aragona,84003,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,2532,2427,2365
Bivona,84004,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2048,1587,1476
Bivona,84004,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1067,985,959
Burgio,84005,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1521,1286,1205
Burgio,84005,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,844,814,798
Calamonaci,84006,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,723,527,500
Calamonaci,84006,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,400,345,337
Caltabellotta,84007,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1897,1487,1357
Caltabellotta,84007,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1200,1069,1027
Camastra,84008,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1219,851,781
Camastra,84008,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,587,507,493
Cammarata,84009,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,3793,3107,2870
Cammarata,84009,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1584,1502,1453
Campobello di Licata,84010,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,5751,4363,3888
Campobello di Licata,84010,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,2624,2444,2370
Canicattì,84011,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,22432,16073,14262
Canicattì,84011,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,8463,7451,7166
Casteltermini,84012,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,4543,3616,3301
Casteltermini,84012,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,2362,2135,2061
Castrofilippo,84013,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1614,1116,960
Castrofilippo,84013,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,776,669,627
Cattolica Eraclea,84014,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2090,1441,1286
Cattolica Eraclea,84014,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1025,857,828
Cianciana,84015,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1877,1502,1403
Cianciana,84015,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1119,1033,1003
Comitini,84016,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,559,488,456
Comitini,84016,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,241,237,236
Favara,84017,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,20841,16743,15195
Favara,84017,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,8071,7350,6978
Grotte,84018,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,3192,2558,2350
Grotte,84018,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1644,1470,1416
Joppolo Giancaxio,84019,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,647,503,449
Joppolo Giancaxio,84019,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,372,319,291
Lampedusa e Linosa,84020,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,4262,3049,2472
Lampedusa e Linosa,84020,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1485,1250,1166
Licata,84021,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,22231,14112,12164
Licata,84021,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,9568,7658,7203
Lucca Sicula,84022,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1024,880,822
Lucca Sicula,84022,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,506,497,478
Menfi,84023,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,7312,5465,4906
Menfi,84023,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,3574,3180,3036
Montallegro,84024,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1440,1100,1026
Montallegro,84024,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,727,625,601
Montevago,84025,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1650,1325,1187
Montevago,84025,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,878,829,812
Naro,84026,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,4192,2939,2620
Naro,84026,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,2362,2004,1909
Palma di Montechiaro,84027,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,13361,7701,6894
Palma di Montechiaro,84027,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,5523,4585,4394
Porto Empedocle,84028,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,10094,7545,6788
Porto Empedocle,84028,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,4149,3658,3497
Racalmuto,84029,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,4762,3576,2999
Racalmuto,84029,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,2180,1899,1744
Raffadali,84030,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,7642,6051,5414
Raffadali,84030,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,3463,3138,2989
Ravanusa,84031,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,6729,4211,3596
Ravanusa,84031,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,3006,2315,2153
Realmonte,84032,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2702,2131,1913
Realmonte,84032,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1237,1134,1067
Ribera,84033,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,10880,8055,7260
Ribera,84033,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,5362,4738,4580
Sambuca di Sicilia,84034,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,3376,2860,2695
Sambuca di Sicilia,84034,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1658,1583,1520
San Biagio Platani,84035,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1695,1290,1160
San Biagio Platani,84035,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1043,951,887
San Giovanni Gemini,84036,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,4670,3734,3479
San Giovanni Gemini,84036,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,2255,2058,2013
Sant'Angelo Muxaro,84039,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,620,429,395
Sant'Angelo Muxaro,84039,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,472,411,400
Santa Elisabetta,84037,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1344,1058,963
Santa Elisabetta,84037,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,642,626,604
Santa Margherita di Belice,84038,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,3849,2944,2658
Santa Margherita di Belice,84038,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1783,1649,1602
Santo Stefano Quisquina,84040,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2538,2070,1913
Santo Stefano Quisquina,84040,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1402,1285,1252
Sciacca,84041,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,23842,20163,18711
Sciacca,84041,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,11321,10965,10700
Siculiana,84042,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2586,1931,1697
Siculiana,84042,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1250,1123,1066
Villafranca Sicula,84043,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,782,660,596
Villafranca Sicula,84043,Agrigento,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,433,395,382
Acquaviva Platani,85001,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,489,405,382
Acquaviva Platani,85001,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,327,345,339
Bompensiere,85002,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,303,234,213
Bompensiere,85002,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,175,164,160
Butera,85003,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2620,1684,1471
Butera,85003,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1282,973,906
Caltanissetta,85004,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,36976,27036,24363
Caltanissetta,85004,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,16683,14727,14109
Campofranco,85005,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1598,1188,1065
Campofranco,85005,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,996,851,805
Delia,85006,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2508,1757,1588
Delia,85006,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1056,919,886
Gela,85007,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,46225,29769,26240
Gela,85007,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,17529,14477,13686
Marianopoli,85008,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1000,570,491
Marianopoli,85008,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,545,384,353
Mazzarino,85009,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,7109,4948,4363
Mazzarino,85009,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,3060,2472,2308
Milena,85010,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1651,1335,1239
Milena,85010,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,966,929,889
Montedoro,85011,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,875,642,580
Montedoro,85011,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,457,407,388
Mussomeli,85012,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,6195,5040,4593
Mussomeli,85012,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,2974,2747,2627
Niscemi,85013,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,16422,11098,8942
Niscemi,85013,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,6316,5454,4980
Resuttano,85014,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1042,865,786
Resuttano,85014,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,637,560,535
Riesi,85015,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,6814,4464,4039
Riesi,85015,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,2822,2290,2158
San Cataldo,85016,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,13111,10046,9129
San Cataldo,85016,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,5547,5062,4874
Santa Caterina Villarmosa,85017,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2846,2245,1999
Santa Caterina Villarmosa,85017,Caltanissetta,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1639,1460,1374
